Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
KOMATSU SOUTH AFRICA (PTY) LTD.,5531000000,YES Administrator,07-02-2019 12:21:06,April,36,Registered,yes,In-House 5000,01-06-2019,no,NA,yes,NA,Yes,3
"DB THERMAL, A DIVISION OF DBT TECHNOLOGIES (PTY) LTD",890920449,YES Administrator,07-02-2019 13:04:01,January,30,Registered,yes,In-House 5000,29-03-2019,no,NA,yes,NA,Yes,3
Ensure IT Services (Pty) Ltd,21960538,YES Administrator,07-02-2019 13:52:26,April,8,Registered,yes,Small Biz 1700,18-03-2019,no,NA,yes,NA,Yes,0
Swift Human Resources Pty Ltd,0,YES Administrator,07-02-2019 15:43:15,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
CHS Developments,0,YES Administrator,07-02-2019 16:02:50,March,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Zwavhulimi Soil Fertilizer,0,YES Administrator,07-02-2019 21:20:01,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Field Air Compressors (Pty) Ltd,0,YES Administrator,08-02-2019 08:19:34,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Deutsche Bank,709423735,YES Administrator,08-02-2019 08:43:28,January,62,Registered,yes,Host Placement 9000,31-12-2018,no,NA,yes,NA,Yes,0
TRS Staffing Solutions (Pty) Ltd,152063348,YES Administrator,08-02-2019 11:16:10,December,9,Registered,yes,In-House 5000,07-01-2019,no,On - Track August 2019,yes,NA,Yes,0
The Transformation Legacy,0,YES Administrator,11-02-2019 08:51:51,March,20,Confirming,no,NA,NA,no,Archived,no,NA,NA,0
Oink Oink,0,YES Administrator,11-02-2019 10:12:24,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
iSandler & Co,0,YES Administrator,11-02-2019 11:16:50,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
ftronics pty ltd,0,YES Administrator,11-02-2019 19:23:17,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Mavee tec trading and projects,0,YES Administrator,11-02-2019 23:30:47,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Gammatek (Pty) Ltd,115000000,YES Administrator,12-02-2019 13:43:08,March,16,Registered,yes,In-House 5000,28-02-2019,no,NA,yes,NA,Yes,0
NBST Consulting Services  (Pty) LTD,300000,YES Administrator,13-02-2019 15:51:00,March,2,Awaiting Pledge and Payment,yes,NA,NA,no,Archived,no,NA,NA,0
SUPRA HEALTHCARE JOHANNESBURG (PTY) LTD,153863390,YES Administrator,13-02-2019 16:10:49,February,9,Awaiting Pledge and Payment,yes,NA,NA,no,On Hold - Restructuring Organisation,no,NA,NA,0
Assento,3279884,YES Administrator,13-02-2019 20:14:35,March,1,Registered,yes,Small Biz 1700,22-02-2019,no,On Track - July 2019,yes,Yes,Yes,1
Abey Electtical,0,YES Administrator,14-02-2019 06:53:38,April,5,Confirming,no,NA,NA,no,Potential Host,no,NA,NA,0
IBIS Environmental Social Governance Consulting Africa PTY LTD,4332925,YES Administrator,14-02-2019 10:12:03,March,1,Registered,yes,Small Biz 1700,15-04-2019,no,NA,yes,NA,Yes,0
Merchants SA,0,YES Administrator,14-02-2019 13:19:34,April,0,Calculating for BBBEE,yes,NA,NA,no,On - Track August 2019,no,NA,NA,0
Linako Catering & Events,0,YES Administrator,14-02-2019 16:17:53,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Re-Solve Consulting (Pty) Ltd,0,YES Administrator,14-02-2019 16:56:53,February,14,Registered,no,In-House 5000,01-03-2019,no,NA,yes,NA,Yes,0
message to all nations,0,YES Administrator,15-02-2019 15:04:38,NA,0,Initial Signup,no,NA,NA,no,Archived,no,NA,NA,0
Thermaire Investments (Pty) Ltd,550000000,YES Administrator,18-02-2019 09:58:25,March,15,Registered,yes,In-House 5000,28-02-2019,no,On Track,yes,NA,Yes,0
